Algorithm	End Timestamp (ms)	Nodes Visited	Nodes Created	Edges Analyzed	Time Elapsed (ns)
Backtracking	1729518158359	27	27	74	19468500
DFS	1729518158371	14	20	36	1418300
BFS	1729518158374	25	27	67	1854800
UCS	1729518158379	24	26	66	3873300
Backtracking	1729568119955	27	27	74	19432700
DFS	1729568119972	14	20	36	6429800
BFS	1729568119976	25	27	67	2809600
UCS	1729568119982	24	26	66	5111000
Backtracking	1729568155846	27	27	74	11065900
DFS	1729568155865	14	20	36	9047400
BFS	1729568155867	25	27	67	1793100
UCS	1729568155879	24	26	66	11646000
Backtracking	1729568172422	27	27	74	19923700
DFS	1729568172437	14	20	36	1893300
BFS	1729568172442	25	27	67	2597400
UCS	1729568172449	24	26	66	7335700
Backtracking	1729568332774	27	27	74	31898300
DFS	1729568332786	14	20	36	1091500
BFS	1729568332788	25	27	67	1892700
UCS	1729568332793	24	26	66	4157400
Backtracking	1729568445468	27	27	74	11970900
DFS	1729568445478	9	15	28	1296000
BFS	1729568445481	19	24	56	1556700
UCS	1729568445485	13	17	39	2875800
Backtracking	1729568597572	27	27	74	11290700
DFS	1729568597582	9	15	28	1080000
BFS	1729568597584	19	24	56	1569900
UCS	1729568597588	13	17	39	2977800
Backtracking	1729568617193	27	27	74	11033000
DFS	1729568617204	9	15	28	1089800
BFS	1729568617206	19	24	56	1745900
UCS	1729568617210	13	17	39	4068900
Backtracking	1729568625075	27	27	74	11757200
DFS	1729568625087	9	15	28	934800
BFS	1729568625090	19	24	56	1537500
UCS	1729568625094	13	17	39	3978500
Backtracking	1729569073005	27	27	74	11504300
DFS	1729569073016	9	15	28	848200
BFS	1729569073018	19	24	56	1946600
UCS	1729569073023	13	17	39	3631900
GBFS	1729569073024	1	21	47	427000
Backtracking	1729569107191	27	27	74	10742700
DFS	1729569107200	9	15	28	1405700
BFS	1729569107203	19	24	56	1725500
UCS	1729569107206	13	17	39	2682400
Backtracking	1729569414902	27	27	74	12291200
DFS	1729569414913	9	15	28	1498200
BFS	1729569414916	19	24	56	1554700
UCS	1729569414918	13	17	39	2618600
GBFS	1729569414921	17	21	47	358400
Backtracking	1729569727453	27	27	74	11062300
DFS	1729569727463	9	15	28	1120399
BFS	1729569727466	19	24	56	1750899
UCS	1729569727469	13	17	39	2592800
GBFS	1729569727471	17	21	47	363600
Backtracking	1729569741201	27	27	74	10515200
DFS	1729569741210	9	15	28	1016400
BFS	1729569741212	19	24	56	1590300
UCS	1729569741216	13	17	39	3089800
GBFS	1729569741218	17	21	47	442600
Backtracking	1729569768573	27	27	74	12063900
DFS	1729569768583	9	15	28	886500
BFS	1729569768585	19	24	56	1511500
UCS	1729569768588	13	17	39	2732699
GBFS	1729569768591	17	21	47	394100
AStar	1729569768593	12	17	39	1509099
